"Timestamp","LogLevel","Reference","Category","Message","Reaspm"
"2023-11-03 11:09:33.724756","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [UserAssist] exists",""
"2023-11-03 11:09:33.727297","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [WordWheelQuery] exists",""
"2023-11-03 11:09:33.729943","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Services] exists",""
"2023-11-03 11:09:33.732790","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [REGTimeLine] exists",""
"2023-11-03 11:09:33.735492","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [sccm_parser] exists",""
"2023-11-03 11:09:33.738610","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [MFT_parser] exists",""
"2023-11-03 11:09:33.740248","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Browser_History] exists",""
"2023-11-03 11:09:33.742173","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_info] exists",""
"2023-11-03 11:09:33.744833","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_envars] exists",""
"2023-11-03 11:09:33.747283","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_FileScan] exists",""
"2023-11-03 11:09:33.749678","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_ProcessSID] exists",""
"2023-11-03 11:09:33.752198","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_handles] exists",""
"2023-11-03 11:09:33.753007","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [RUA] exists",""
"2023-11-03 11:09:33.754674","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_ModScan] exists",""
"2023-11-03 11:09:33.757219","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_Modules] exists",""
"2023-11-03 11:09:33.760116","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_mutantScan] exists",""
"2023-11-03 11:09:33.762565","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_netScan] exists",""
"2023-11-03 11:09:33.765099","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_ProcessPrivs] exists",""
"2023-11-03 11:09:33.767476","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_hiveList] exists",""
"2023-11-03 11:09:33.768996","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [UserAccessLogging] exists",""
"2023-11-03 11:09:33.770455","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_userAssist] exists",""
"2023-11-03 11:09:33.771070","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [IIS_Sites] exists",""
"2023-11-03 11:09:33.773054","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_symlink] exists",""
"2023-11-03 11:09:33.775475","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_vadInfo] exists",""
"2023-11-03 11:09:33.777948","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_virtMap] exists",""
"2023-11-03 11:09:33.780466","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_timeliner] exists",""
"2023-11-03 11:09:33.782989","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_pslist] exists",""
"2023-11-03 11:09:33.785664","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_cmdline] exists",""
"2023-11-03 11:09:33.788987","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_dlllist] exists",""
"2023-11-03 11:09:33.791882","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [mem_SSDT] exists",""
"2023-11-03 11:09:33.794810","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Shimcache] exists",""
"2023-11-03 11:09:33.797459","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Events] exists",""
"2023-11-03 11:09:33.801700","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [RedLineParser] exists",""
"2023-11-03 11:09:33.802056","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_Calls] exists",""
"2023-11-03 11:09:33.804988","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_ChromeFavicon] exists",""
"2023-11-03 11:09:33.807525","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_Manifest] exists",""
"2023-11-03 11:09:33.809997","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_ProfileEvents] exists",""
"2023-11-03 11:09:33.810104","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [pcap_parser] exists",""
"2023-11-03 11:09:33.812757","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_InstalledApplications] exists",""
"2023-11-03 11:09:33.819211","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_ChromeHistory] exists",""
"2023-11-03 11:09:33.826343","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_Contacts] exists",""
"2023-11-03 11:09:33.829183","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_FirefoxFavicon] exists",""
"2023-11-03 11:09:33.831049","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Recyclebin] exists",""
"2023-11-03 11:09:33.831837","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_FirefoxHistory] exists",""
"2023-11-03 11:09:33.834452","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_IDStatusCache] exists",""
"2023-11-03 11:09:33.837019","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_InteractionC] exists",""
"2023-11-03 11:09:33.840858","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [IIS_Compare] exists",""
"2023-11-03 11:09:33.842374","[ERROR]","dbstuff.py.__init__[Lin.513]","mongo_parsers","Failed loading parsers configurations","invalid syntax (<unknown>, line 1)"
"2023-11-03 11:09:33.853851","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Browser_History] exists",""
"2023-11-03 11:09:33.856942","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_LocationdClients] exists",""
